CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
11001009807,30,83,2,348,433,463
11001009810,10,79,0,23,102,112
11001009811,20,77,0,101,178,198
11001009901,41,12,0,871,883,924
11001009902,28,18,0,531,549,577
11001009903,9,21,0,288,309,318
11001009904,31,72,0,130,202,233
11001009905,24,73,0,374,447,471
11001009906,20,33,0,152,185,205
11001009907,6,67,0,179,246,252
11001010100,70,4,7,0,11,81
11001010201,13,9,0,0,9,22
11001010202,103,12,4,35,51,154
11001010300,78,24,1,556,581,659
11001010400,184,144,0,402,546,730
11001010500,36,67,2,0,69,105
11001010601,33,2,1,2,5,38
11001010602,52,65,0,102,167,219
11001010603,48,4,0,0,4,52
11001010700,127,6,4,2,12,139
11001010800,110,6,2,0,8,118
11001010900,276,73,0,1,74,350
11001011001,0,55,0,0,55,55
11001011002,66,27,0,2,29,95
11001011100,306,44,6,1303,1353,1659
11001980000,235,0,0,0,0,235
