CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
72127005405,28,29,0,1145,1174,1202
72127005500,122,14,0,1081,1095,1217
72127005601,57,24,0,732,756,813
72127005602,89,21,0,423,444,533
72127005800,191,9,0,540,549,740
72127005900,11,0,0,402,402,413
72127006000,75,132,0,26,158,233
72127006101,82,121,0,1,122,204
72127006102,111,198,0,196,394,505
72127006200,94,427,0,60,487,581
72127006301,145,90,0,450,540,685
72127006302,70,46,0,221,267,337
72127006500,218,31,0,560,591,809
72127006600,105,64,86,10,160,265
72127006701,80,4,0,601,605,685
72127006702,52,140,0,94,234,286
72127006800,169,748,0,82,830,999
72127006900,155,903,0,0,903,1058
72127007004,445,688,0,0,688,1133
72127007100,142,562,0,0,562,704
72127007300,185,313,0,624,937,1122
72127007400,109,630,0,0,630,739
72127007500,89,402,0,0,402,491
72127007600,64,415,0,0,415,479
72127007700,68,243,0,0,243,311
72127007800,84,879,0,11,890,974
72127007900,165,0,0,703,703,868
72127008001,168,158,0,414,572,740
72127008002,104,0,0,543,543,647
72127008100,78,0,0,691,691,769
72127008201,3,111,0,20,131,134
72127008202,76,28,0,511,539,615
72127008300,89,188,0,5,193,282
72127008400,233,520,0,117,637,870
72127008500,79,456,0,276,732,811
72127008601,48,41,0,498,539,587
72127008602,78,32,4,653,689,767
72127008603,24,0,0,551,551,575
72127008700,70,0,251,0,251,321
72127008900,313,133,61,115,309,622
72127009000,51,290,0,182,472,523
72127009111,46,69,0,201,270,316
72127009112,19,56,0,480,536,555
72127009121,100,1,0,1036,1037,1137
72127009122,39,1,0,932,933,972
72127009123,11,0,0,813,813,824
72127009300,138,487,68,146,701,839
72127009400,118,302,0,197,499,617
72127009601,207,0,0,468,468,675
72127009602,152,0,0,619,619,771
72127009603,73,0,0,832,832,905
72127009614,48,1,0,601,602,650
72127009624,38,38,0,1006,1044,1082
72127009800,90,24,0,1546,1570,1660
72127009901,60,22,0,894,916,976
72127009902,904,0,2,420,422,1326
72127009903,558,0,0,1071,1071,1629
72127009904,12,3,0,439,442,454
72127010002,30,2,0,1399,1401,1431
72127010012,24,94,0,1074,1168,1192
72127010022,135,0,2,871,873,1008
72127010032,21,319,0,556,875,896
72127010043,15,0,0,753,753,768
72127010044,32,5,0,771,776,808
72127010045,1222,0,0,253,253,1475
72127010046,1085,0,0,37,37,1122
72127010100,1786,0,0,860,860,2646
72127010200,2029,0,0,312,312,2341
72127010500,296,26,0,34,60,356
72127980000,73,0,0,0,0,73
72127980101,30,0,0,0,0,30
72127980102,63,0,0,0,0,63
72127980103,42,0,0,0,0,42
72127980104,723,0,0,0,0,723
72127980105,16,0,0,0,0,16
72127980107,17,0,0,0,0,17
72127980108,77,0,0,0,0,77
72127980200,13,0,0,0,0,13
72127980300,33,0,0,0,0,33
72129220100,2084,83,0,819,902,2986
72129220200,110,452,0,105,557,667
72129220300,150,111,0,144,255,405
72129220401,1515,0,0,451,451,1966
72129220402,1406,0,0,473,473,1879
72129220501,1426,0,0,0,0,1426
72129220502,1426,0,0,199,199,1625
72129220600,1454,0,0,0,0,1454
72129220700,2768,0,0,5,5,2773
72131009200,436,0,0,279,279,715
72131958500,2421,0,0,0,0,2421
72131958700,2677,0,0,108,108,2785
72131958800,3002,0,0,34,34,3036
72131958900,151,35,0,726,761,912
72131959000,201,381,0,910,1291,1492
72131959200,2581,44,0,15,59,2640
72131959300,1963,0,0,0,0,1963
72131959500,2723,0,0,95,95,2818
72133953300,1713,0,0,0,0,1713
72133953500,2347,0,0,0,0,2347
72133953600,2337,77,0,5,82,2419
72133953700,135,379,0,289,668,803
72133953800,551,164,0,917,1081,1632
72135510101,27,17,0,2882,2899,2926
72135510102,193,0,0,1489,1489,1682
72135510200,415,0,0,2214,2214,2629
72135510300,218,60,0,468,528,746
72135510400,1248,0,0,415,415,1663
72135510502,213,0,0,709,709,922
72135510503,48,14,0,2140,2154,2202
72135510504,53,39,0,641,680,733
72135510505,72,0,0,1020,1020,1092
72135510601,1123,23,0,696,719,1842
72135510602,2184,0,0,8,8,2192
72135510701,1632,0,0,0,0,1632
72135510702,1907,0,0,0,0,1907
72137120200,442,1,0,863,864,1306
72137120300,99,0,0,685,685,784
72137120400,79,0,0,571,571,650
72137120500,27,0,0,349,349,376
72137120600,54,0,0,1067,1067,1121
72137120900,86,0,0,930,930,1016
72137121001,40,12,0,1007,1019,1059
72137121002,74,0,0,1184,1184,1258
72137121200,68,0,0,1177,1177,1245
72137121400,54,4,0,1082,1086,1140
72137121701,209,0,0,671,671,880
72137121702,103,0,0,1710,1710,1813
72137121801,276,0,0,1512,1512,1788
72137121802,516,0,0,1460,1460,1976
72137121900,104,0,0,1172,1172,1276
72137122001,202,0,0,1584,1584,1786
72137122002,195,20,0,753,773,968
72137122100,56,0,0,760,760,816
72137122201,67,0,0,1101,1101,1168
72137122202,26,0,0,694,694,720
72137122400,242,46,0,318,364,606
72137122500,122,10,0,1137,1147,1269
72137122600,172,0,0,1848,1848,2020
72139060102,182,12,0,832,844,1026
72139060103,140,8,0,835,843,983
72139060104,174,68,0,967,1035,1209
72139060212,202,40,0,679,719,921
72139060213,42,0,0,822,822,864
72139060222,222,0,0,558,558,780
72139060223,135,245,0,651,896,1031
72139060224,35,29,0,368,397,432
72139060225,192,12,0,449,461,653
72139060226,24,0,0,241,241,265
72139060301,64,6,0,1632,1638,1702
72139060302,2101,32,0,243,275,2376
72139060401,1375,0,0,0,0,1375
72139060403,446,35,0,589,624,1070
72139060404,51,0,0,1455,1455,1506
72139060501,1754,0,0,0,0,1754
72139060502,1508,0,0,0,0,1508
72141956900,84,0,0,1868,1868,1952
72141957000,81,0,0,2009,2009,2090
72141957100,152,0,0,2099,2099,2251
72141957200,102,0,0,2253,2253,2355
72141957300,156,0,0,1016,1016,1172
72141957400,85,8,0,565,573,658
72141957500,262,55,0,466,521,783
72141957600,258,0,0,1511,1511,1769
72143550101,34,0,1087,0,1087,1121
72143550102,549,0,0,22,22,571
72143550103,201,0,1411,167,1578,1779
72143550200,1929,27,0,76,103,2032
72143550300,1945,0,0,102,102,2047
72143550400,242,164,0,726,890,1132
72143550500,161,12,19,1390,1421,1582
72143550601,1288,3,0,419,422,1710
72143550602,373,9,0,435,444,817
72145560100,245,0,0,1486,1486,1731
72145560201,503,0,0,1472,1472,1975
72145560204,720,0,0,666,666,1386
72145560300,376,21,5,1075,1101,1477
72145560401,1082,0,0,0,0,1082
72145560402,1632,0,0,433,433,2065
72145560500,171,0,0,325,325,496
72145560600,768,0,0,1179,1179,1947
72145560701,111,0,0,1463,1463,1574
72145560702,226,11,0,1823,1834,2060
72145560801,1069,0,0,120,120,1189
72145560802,949,0,0,335,335,1284
72145560900,1685,0,0,498,498,2183
72147950500,1301,0,2,1594,1596,2897
72147950600,370,0,0,1923,1923,2293
72147990000,1,0,0,0,0,1
72149720100,1997,0,0,0,0,1997
72149720300,1581,0,10,429,439,2020
72149720400,165,65,0,336,401,566
72149720502,1072,3,0,232,235,1307
72149720503,746,0,0,577,577,1323
72149720504,669,35,0,366,401,1070
72151950601,41,0,0,1116,1116,1157
72151950602,74,0,7,1630,1637,1711
72151950700,60,0,0,2530,2530,2590
72151950800,64,0,0,1544,1544,1608
72151950900,56,0,0,2108,2108,2164
72151951000,354,32,0,387,419,773
72151951100,275,129,0,216,345,620
72151951200,327,55,0,1001,1056,1383
72151951300,413,0,0,1813,1813,2226
72153750101,1171,0,0,0,0,1171
72153750102,1116,0,0,205,205,1321
72153750201,953,0,0,323,323,1276
72153750202,320,0,0,1295,1295,1615
72153750300,86,0,0,1317,1317,1403
72153750400,389,1,0,804,805,1194
72153750501,88,0,0,900,900,988
72153750502,58,0,0,490,490,548
72153750503,271,0,0,594,594,865
72153750601,410,0,0,1218,1218,1628
72153750602,329,0,0,908,908,1237
